csv_row,waypoint_x,waypoint_y,projected_s,projected_s_wrapped,projected_x,projected_y,euclidean_error_m,signed_lateral_error_m
88.0,-0.017765,-1.999992,-0.14549854576659982,831.5725102269103,-0.017775915649397223,-2.0030029097904753,0.0030109295770213767,0.0030109295770213767
89.0,-0.017804,-1.999992,-0.14553754727353407,831.5724712254033,-0.017814917168967725,-2.003002768386018,0.0030107881790027986,0.0030107881790027518
90.0,-0.017843,-1.999992,-0.1455765477184059,831.5724322249584,-0.01785391762218716,-2.003002626965891,0.0030106467614493134,0.003010646761449314
91.0,-0.017882,-1.999992,-0.1456155487031765,831.5723932239737,-0.01789291861094889,-2.003002485524286,0.0030105053243601816,0.0030105053243601816
92.0,-0.01792,-1.999992,-0.14565354966384803,831.572355223013,-0.01793091957134063,-2.003002347690606,0.003010367495070226,0.003010367495070226
93.0,-0.017959,-1.999992,-0.14569255047751994,831.5723162221993,-0.017969920380355754,-2.003002206211077,0.0030102260194068524,0.003010226019406845
94.0,-0.017998,-1.999992,-0.14573155178709385,831.5722772208898,-0.018008921681027624,-2.0030020647102247,0.0030100845242046815,0.0030100845242046798
95.0,-0.018037,-1.999992,-0.1457705524734365,831.5722382202034,-0.01804792235403876,-2.003001923192108,0.0030099430094616113,0.0030099430094616027
96.0,-0.018076,-1.999992,-0.14580955371388882,831.572199218963,-0.018086923577056508,-2.0030017816524532,0.003009801475177376,0.003009801475177376
97.0,-0.018114,-1.999992,-0.1458475547033231,831.5721612179735,-0.01812492454518142,-2.0030016437240343,0.0030096635511808797,0.0030096635511808797
98.0,-0.018153,-1.999992,-0.1458865553989881,831.5721222172779,-0.018163925214813106,-2.0030015021478023,0.0030095219783123654,0.003009521978312348
99.0,-0.018191,-1.999992,-0.1459245574126271,831.5720842152642,-0.01820192719903633,-2.0030013641780946,0.0030093840167180093,0.0030093840167179304
100.0,-0.018231,-1.999992,-0.1459645573090711,831.5720442153678,-0.0182419270601729,-2.0030012189348643,0.003009238773940964,0.003009238773940928
101.0,-0.01827,-1.999992,-0.14600355823847622,831.5720052144384,-0.018280927950666603,-2.0030010772991917,0.0030090971424360682,0.0030090971424360136
102.0,-0.018308,-1.999992,-0.14604155971028376,831.5719672129666,-0.018318929380636697,-2.003000939274358,0.00300895912370623,0.003008959123706228
103.0,-0.018347,-1.999992,-0.14608056086024135,831.5719282118166,-0.018357930483357095,-2.003000797599318,0.003008817453606504,0.003008817453606504
104.0,-0.018386,-1.999992,-0.14611956190481123,831.571889210772,-0.01839693147661666,-2.003000655905125,0.0030086757639573867,0.0030086757639573867
105.0,-0.018424,-1.999992,-0.14615756289811088,831.5718512097787,-0.018434932415717892,-2.003000517825414,0.0030085376885704072,0.003008537688570407
106.0,-0.018462,-1.999992,-0.1461955643815145,831.5718132082953,-0.018472933841020594,-2.0030003797253744,0.0030083995946222097,0.0030083995946221793
107.0,-0.018501,-1.999992,-0.14623456501658438,831.5717742076603,-0.01851193441227342,-2.0030002379750598,0.0030082578473201943,0.0030082578473201943
108.0,-0.01854,-1.999992,-0.14627356575010708,831.5717352069267,-0.01855093507779066,-2.0030000962048486,0.0030081160804648413,0.003008116080464824
109.0,-0.018578,-1.999992,-0.14631156710856885,831.5716972055683,-0.018588936366021942,-2.002999958048635,0.003007977929847605,0.003007977929847605
110.0,-0.018617,-1.999992,-0.14635056816450742,831.5716582045123,-0.018627937345720914,-2.002999816238671,0.0030078361243830293,0.0030078361243830293
111.0,-0.018656,-1.999992,-0.14638956925728053,831.5716192034196,-0.018666938358123386,-2.0029996744090295,0.0030076942993611144,0.0030076942993611144
112.0,-0.018695,-1.999992,-0.14642857060493952,831.5715802020719,-0.01870593962135841,-2.002999532558917,0.0030075524547812944,0.0030075524547812814
113.0,-0.018735,-1.999992,-0.14646857143020497,831.5715402012466,-0.018745940355611983,-2.002999387053345,0.003007406952842849,0.003007406952842849
114.0,-0.018772,-1.999992,-0.14650557249854046,831.5715032001783,-0.018782941335953665,-2.002999252441276,0.0030072723452311567,0.0030072723452311562
115.0,-0.01881,-1.999992,-0.14654357375150084,831.5714651989254,-0.018820942494774895,-2.0029991141721624,0.0030071340812494033,0.003007134081249394
116.0,-0.018849,-1.999992,-0.14658257460598634,831.5714261980709,-0.018859943248538315,-2.0029989722466603,0.0030069921594301167,0.0030069921594301167
117.0,-0.018888,-1.999992,-0.14662157572456636,831.5713871969523,-0.018898944262252942,-2.002998830300648,0.003006850218047396,0.003006850218047396
118.0,-0.018926,-1.999992,-0.1466595768214347,831.5713491958554,-0.018936945253137712,-2.002998691975447,0.0030067118973695624,0.0030067118973695615
119.0,-0.018965,-1.999992,-0.14669857838475764,831.5713101942921,-0.018975946703419944,-2.002998549989216,0.0030065699173591875,0.0030065699173591476
